人若賺得全世界，賠上自己的生命，有什麼益處呢？人還能拿什麼換生命呢？ | 太 16:26
天地要廢去，我的話卻不能廢去。 | 太 24:35
我又告訴你們：凡人所說的閒話，當審判的日子，必要句句供出來。 | 以弗所書4:25
人的智慧就像一面凹凸不平的鏡子，它把自己的本性摻雜在事物的本性中，所以它反映的事物是歪曲的畸形的。 | 弗·培根
Where there is a will, there is a way. | 有志者事竟成
Poverty on an old man's back is a heavy burden. | 老而貧窮，負擔沈重。
真理走到極端便成謬誤。 | 拉丁諺語
Responsibility must be shouldered; you cannot carry it under your arms. | 責任必須負在肩上，不能挾在腋下。
人若說“我愛神”，卻恨他的弟兄，就是說謊話的；不愛他所看見的弟兄，就不能愛沒有看見的神。 | 約壹 4:20
Pride may lurk under a threadbare cloak. | 驕傲可能披著老一套的外衣出現。
思想和智慧是高尚的美德。 | 海塞
Purpose supposes foresight. | 深謀遠慮。
玫瑰，即使換個名字，還是一樣芳香。 | 莎士比亞
Our best friends are they who tell us our faults and help us to mend them. | 最好的朋友是指出我們的缺點並幫助改正的人。
“基督耶穌降世，為要拯救罪人。”這話是可信的，是十分可佩服的。在罪人中我個是罪魁。 | 提前 1:15
你當竭力在神面前得蒙喜悅，作無愧的工人，按著正意分解真理的道。 | 提後 2:15
因此，我的心歡喜，我的靈（原文作“榮耀”）快樂，我的肉身也要安然居住。 | 詩 16:9
天天背負我們重擔的主，就是拯救我們的神，是應當稱頌的！ | 詩 68:19
若不是耶和華建造房屋，建造的人就枉然勞力。若不是耶和華看守城池，看守的人就枉然警醒。 | 詩篇​​127:1
回答柔和，使怒消退。言語暴戾，觸動怒氣。 | 箴 15:1
他被藐視，被人厭棄，多受痛苦，常經憂患。他被藐視，好像被人掩面不看的一樣，我們也不尊重他。 | 賽 53:3
掌握最開始的一分鐘，處理過程要堅持最後一分鐘。 | 佚名
教化學子，淨化社會：讓我們的校園成為安全的地方。 | 佚名
惟用愛心說誠實話，凡事長進，連於元首基督，全身都靠他聯絡得合式，百節各按各職，照著各體的功用彼此相助，便叫身體漸漸增長，在愛中建立自己。 | 以弗所書4:15-16
